bank,comment,rating,source,time,target,language
PayMe,My friends and I can't login to the app today. It works fine before,1,GooglePlay,30-Aug-19,HK Bank,en
PayMe,Doesn't accept foreign credit cards. Limited to use in Hong Kong only. Useless app.,1,GooglePlay,03-Sep-19,HK Bank,en
PayMe,"i can't login and there can't use my money, tried reinstalled and still can't!!!",1,GooglePlay,21-Jul-19,HK Bank,en
PayMe,The app just kept frozen on the opening screen!!! Can't be used at all!!!!!!!,1,GooglePlay,14-Nov-18,HK Bank,en
PayMe,It immediately shut down by itself once I start the app. What the hell!,1,GooglePlay,22-Nov-18,HK Bank,en
PayMe,"Rubbish, very poor design and crash all the time, wechat pay is much better.",1,GooglePlay,23-Nov-18,HK Bank,en
PayMe,Why can't I top up the a.c. with the amount in my HSBC a.c.?!,1,GooglePlay,05-Jul-17,HK Bank,en
PayMe,The apps does not work on ASUS ZenFone 2 Special edition and Android M.,1,GooglePlay,11-Feb-17,HK Bank,en
inMotion,will stop using the service as being forced to use cellphone for banking transactions,1,GooglePlay,26-Mar-19,HK Bank,en
BEA,i cant use it on my sony xx2p keep saying i got security risk,1,GooglePlay,28-Jun-19,HK Bank,en
BEA,Can't open my accout. Keep saying not support my phone. No solution. Waste time.,1,GooglePlay,11-Mar-18,HK Bank,en
BEA,Very very very slow in login process. Especially in margin trading. Time is money!!!,1,GooglePlay,15-Feb-18,HK Bank,en
BEA,"Piece of crap One of the worst banking app in the world, suck hard",1,GooglePlay,23-Nov-15,HK Bank,en
BOC,pain to login. doesn't support login with fingerprint on my phone which is OnePlus.,1,GooglePlay,11-Jul-19,HK Bank,en
BOC,mobile token set up is not working at all keep showing "sever busy" msg,1,GooglePlay,25-Dec-18,HK Bank,en
Citibank HK,You updated the app and now the token is gone. How is this possible?,1,GooglePlay,04-Jun-19,HK Bank,en
Citibank HK,Forcing users to update to latest version which is even unable to be opened,1,GooglePlay,02-Nov-18,HK Bank,en
Citibank HK,keep loading eveytime after open the apps....is it really a trustable mobile banking apps?,1,GooglePlay,27-Mar-19,HK Bank,en
Citibank HK,Frustrating and unreliable. Hangs (i.e. loading forever) randomly - during login or any transaction.,1,GooglePlay,"April 30, 2019",HK Bank,en
DBS Omni,Can't even log in the own account. Major connection problem with the company sever,1,GooglePlay,21-Feb-18,HK Bank,en
DBS Omni,"cannot login, after uninstall, cannot install again, my lucky draw is going to expire",1,GooglePlay,05-Feb-18,HK Bank,en
DBS digibank Hong Kong,Use to be good. Updated today and now Continuously loops. Cannot load login page.,1,GooglePlay,17-Sep-18,HK Bank,en
DBS digibank Hong Kong,Force close unless you grant all privacy permissions. Feels like another chinese spy app.,1,GooglePlay,08-Oct-18,HK Bank,en
Heng Seng Bank,"rubbish, can login once, and then can't login with correct password again and again...",1,GooglePlay,07-Jan-19,HK Bank,en
Heng Seng Bank,"after registered the mobile password, it stucked and freezed the app. poorly made, garbage.",1,GooglePlay,29-Oct-18,HK Bank,en
Heng Seng Bank,i lost access to this app once i joined beta test for android 9.0,1,GooglePlay,"April 9, 2019",HK Bank,en
Heng Seng Bank,"After the update last week, i am not able to open the app anymore.",1,GooglePlay,"April 5, 2017",HK Bank,en
Heng Seng Bank,"Doesn't work at all, has been ""under maintenance"" for months, despite downloading updates frequently",1,GooglePlay,18-Jan-17,HK Bank,en
Heng Seng Bank,Give me a good reason why need to access my contact information What for?,1,GooglePlay,13-Aug-16,HK Bank,en
Heng Seng Bank,Too much advert in apps. And I can't go back to manage my account.,1,GooglePlay,"April 8, 2016",HK Bank,en
HSBC HK,"Failed to generate mobile key. Thanks to that, I need to reuse the token.",1,GooglePlay,16-Sep-19,HK Bank,en
HSBC HK,The log in page didn't show up after uploading. Can't even use the app..,1,GooglePlay,07-Dec-18,HK Bank,en
HSBC HK,Hangs constantly when opened. Takes about 10 minutes to open on my phone. Awful.,1,GooglePlay,26-Nov-18,HK Bank,en
HSBC HK,re-install the app and could not activate my account... crash when verifying via email...,1,GooglePlay,10-May-19,HK Bank,en
HSBC HK,"having trouble with login after adding new fingerprint ID , it doesn't work ,",1,GooglePlay,"April 27, 2019",HK Bank,en
HSBC HK,Can't log in and I can't pay my bill and it cause penalty charge,1,GooglePlay,02-May-18,HK Bank,en
HSBC HK,Android fingerprint ID log on option is not available on Samsung note 8. Seriously?,1,GooglePlay,17-Nov-17,HK Bank,en
HSBC HK,Very bad idea. Security devise is inside phone. App is quite unfriendly organizations hopeless,1,GooglePlay,19-Sep-17,HK Bank,en
HSBC HK,"When you don't update, or not able to update, you couldn't acces installed app.",1,GooglePlay,18-Oct-17,HK Bank,en
HSBC HK,It keeps on claiming I am using a rooted device . Actually it isn't.,1,GooglePlay,22-Jun-17,HK Bank,en
HSBC HK,"After downloading the latest update, cannot use the app. Can we uninstall the update?",1,GooglePlay,"April 6, 2017",HK Bank,en
HSBC HK,It's pointless to use an app on mobile with a fob in your hands.,1,GooglePlay,22-Jan-17,HK Bank,en
HSBC HK,I think its a fake app that crashes. Beware not to download this app,1,GooglePlay,28-May-17,HK Bank,en
SC,App keeps crashing and cannot navigate to different accounts after the update! Terrible App!,1,GooglePlay,31-Jan-19,HK Bank,en
SC,"it keeps crashing, cannot open App and cannot log in to my account! terrible!",1,GooglePlay,31-Jan-19,HK Bank,en
SC,"Recent update caused the app keep crashing, unable to load pass the first page",1,GooglePlay,31-Jan-19,HK Bank,en
SC,Not support android P and google phone pixel 2xl. Pls do something on it.,1,GooglePlay,19-Aug-18,HK Bank,en
SC,A useless app that doesn't support root. Use your desktop or use another bank.,1,GooglePlay,16-Sep-16,HK Bank,en
HSBC HK,"Was not working after updated to Android 10, Removed app and reinstall app, problem solved.",5,GooglePlay,18-Sep-19,HK Bank,en
Citibank HK,That\'s great for searching Jackso around me! The Interface also user friendly! Must DL ;),5,AppStore,07/06/2010 19:45,HK Bank,en
HSBC HK,"Touch ID login is very convenience, with the new code generator is also very nice.",5,AppStore,07/07/2017 17:03,HK Bank,en
PayMe,My favourite app in HK to transfer money to friends. Easy to pay shops too!,5,AppStore,19/08/2019 19:22,HK Bank,en
PayMe,"I love the app, the colors are amazing. I remember seeing them on Friday nights",5,AppStore,17/02/2017 22:39,HK Bank,en
SC Mobile Hong Kong,"Easy to use. With all functions like FPS, QR cash, FX platform. Well designed.
 ----------------------------------------------------------------------------------------- 
 ",5,AppStore,22/08/2019 13:48,HK Bank,en
SC Mobile Hong Kong,It’s a very nice app enhancement which you could view the e-statement clearly! Good job!,5,AppStore,05/05/2019 13:58,HK Bank,en
SC Mobile Hong Kong,Nice application. It is fun that the background will change according to different time zone.,5,AppStore,28/07/2011 14:26,HK Bank,en
AlipayHK,it's easy to use and thanks a lot for the Rewards that you given us.���,5,GooglePlay,11-Mar-19,HK Bank,en
PayMe,Great app. Easy to use. No need to be an HSBC customer which is fantastic,5,GooglePlay,05-May-19,HK Bank,en
PayMe,It's a lot stabler now. The best instant p2p payment at the moment. Great work!,5,GooglePlay,15-Aug-19,HK Bank,en
PayMe,"Convenient, easy to use, quick set up. Used it for 6 weeks, no bugs whatsoever.",5,GooglePlay,11-Feb-18,HK Bank,en
PayMe,Quick and easy way to pay my friends instantly regardless of what bank they use!,5,GooglePlay,03-Oct-17,HK Bank,en
PayMe,It's very easy to transfer money by using PayMe..I would recommend to use it. Thanks!,5,GooglePlay,26-Jun-17,HK Bank,en
PayMe,Best aap to send money. Looking forward to add money from other bank as well.,5,GooglePlay,26-Jun-17,HK Bank,en
BEA,Working good in latest version Great to bea have fixed the issue in old version.,5,GooglePlay,05-Mar-16,HK Bank,en
BEA,"It is very convenient and user friendly enough for idiots of IT like me, magnificient!",5,GooglePlay,03-Dec-15,HK Bank,en
BOC,"Easy to use. Good for doing transfer, making payments, setting overseas withdrawal limit for cards.",5,GooglePlay,"April 3, 2018",HK Bank,en
HSBC HK,The updated app is much nicer to use and better streamlined. Security is also better.,5,GooglePlay,14-Mar-19,HK Bank,en
SC Mobile Hong Kong,"Nice upgrade, able to check account balance and recent transactions very convenient and friendly interface.....",4,AppStore,28/08/2018 17:44,HK Bank,en
PayMe,it mades live so easy to pay back lunch fee to colleague with this app,4,GooglePlay,"April 12, 2019",HK Bank,en
HSBC HK,"Big improvement, better interface & now it's even more user friendly. Thank God for that.",4,GooglePlay,13-Jul-17,HK Bank,en
AlipayHK,"Just couldn’t pay the updated amount after Taobao seller updated the price
Poor shopping experience",2,AppStore,05/04/2019 19:40,HK Bank,en
BEA,It's a shame that no supplement credit card transaction can be shown in the app.,2,AppStore,29/05/2017 20:15,HK Bank,en
Citibank HK,Disconnection message promoted out everytime i tried to pay a credit card bill since 15/7/19,2,AppStore,16/07/2019 05:02,HK Bank,en
Heng Seng Bank,Am I missed something? Where can I get the ATM locator like HSBC app does?!,2,AppStore,31/08/2016 18:27,HK Bank,en
SC Mobile Hong Kong,（）Can’t access my account while using mobile data. Have to connect to a WiFi network.,2,AppStore,07/03/2019 20:09,HK Bank,en
BEA,crashes a lot. force close advice keep coming up even when app is not opened,2,GooglePlay,08-Nov-11,HK Bank,en
BEA,iOS style dialog on Android? You IDIOT. Laggy UI and poor Menu / Sub-menu design,2,GooglePlay,"April 9, 2018",HK Bank,en
BOC,app is slow and ugly. Pixel 3 is not a supported mobile token device either.,2,GooglePlay,26-May-19,HK Bank,en
Citibank HK,every time couple of weeks have to update with big data patch. not user friendly,2,GooglePlay,22-Jan-19,HK Bank,en
Citibank HK,Keep on warning about screen reader (genuine or false alert ?) cannot access login page,2,GooglePlay,03-May-18,HK Bank,en
Heng Seng Bank,"Operation more complicated, slow, not user friendly, can't find some old functions, e.g. copy e-statements",2,GooglePlay,23-Nov-15,HK Bank,en
HSBC HK,"In Android 10, the app failed to enable user to log on using fingerprint .",2,GooglePlay,04-Sep-19,HK Bank,en
HSBC HK,My new Mi9 phone faced that the apps crushes when pressing generating code for verification.,2,GooglePlay,06-May-19,HK Bank,en
SC,my fingerprints login feature still doesn't come back after upgrade my android os! anyone help?,2,GooglePlay,"April 28, 2019",HK Bank,en
HSBC HK,"Cannot use face id , when I create face id , and does not work！",3,AppStore,09/10/2018 11:48,HK Bank,en
PayMe,would it be possible to hide all transaction records even others didnt set the privacy?,3,AppStore,07/05/2019 13:45,HK Bank,en
PayMe,I cannot pay the money to my bank account for two weeks.  Pls follow up.,3,AppStore,01/05/2019 19:32,HK Bank,en
PayMe,Will the app also accept Hang Seng bank account to top up money in payme,3,AppStore,23/06/2018 22:50,HK Bank,en
PayMe,It’ll great to have this function that allow to check the history in the apps,3,AppStore,02/12/2017 00:41,HK Bank,en
PayMe,"1. Copy link to clipboard when generated payment

2. Delete transaction history

Thank you
 ----------------------------------------------------------------------------------------- 
 ",3,AppStore,15/05/2017 14:09,HK Bank,en
SC Mobile Hong Kong,"Can developer add the ticket pick up function which is linked into each branch
 ----------------------------------------------------------------------------------------- 
 ",3,AppStore,02/11/2019 12:19,HK Bank,en
PayMe,Overloaded with faulty settings and technical issues which is fundamental for users to develop trust,3,GooglePlay,10-Jun-18,HK Bank,en
PayMe,I like it. could add a QR code like system rather than adding each contact,3,GooglePlay,23-Oct-17,HK Bank,en
PayMe,"After logout, cannot login again for few days. No SMS was received for verification!!!
 ----------------------------------------------------------------------------------------- 
 ",4,AppStore,11/01/2018 10:06,HK Bank,en
AlipayHK,can't transfer money to bank and other e wallets after the recent update. not good,4,GooglePlay,"April 3, 2019",HK Bank,en
AlipayHK,It fails to pop up the keyboard to do sms confirmation in forget password feature,1,AppStore,22/09/2019 18:22,HK Bank,en
BEA,"It takes forever to load once you open the app. Plus, it never loads successfully",1,AppStore,10/11/2019 23:17,HK Bank,en
BEA,"When i finish face id on iphone xs max, it just showing loading, connot work",1,AppStore,28/06/2019 10:04,HK Bank,en
BOC,Totally unacceptable interface without no centralised access. FaceID is always “disconnected” with my iPhone X.,1,AppStore,30/11/2018 12:01,HK Bank,en
CCB,"Stupid login system, suck in app keyboad design and u even cant login the ebanking",1,AppStore,04/12/2018 07:55,HK Bank,en
Citibank HK,"Can’t adjust font size, font colour too light.  Not friendly to senior!!!! bad bad!
 ----------------------------------------------------------------------------------------- 
 ",1,AppStore,29/09/2019 13:14,HK Bank,en
Citibank HK,"Rubbish app! Always need to delete and reinstall to login the app. So annoying!
 ----------------------------------------------------------------------------------------- 
 ",1,AppStore,15/08/2019 22:40,HK Bank,en
Citibank HK,Pls slim down your app below 200mb can’t down it by mobile network not friendly,1,AppStore,24/07/2019 13:20,HK Bank,en
Citibank HK,Garbage app garbage company no service and otp is garbage even people phone don’t care,1,AppStore,18/07/2019 22:27,HK Bank,en
Citibank HK,Can’t update this app as it says “item no longer available”. Can’t log in either.,1,AppStore,31/01/2019 18:55,HK Bank,en
Citibank HK,"Login screen was freeze after the app updated, its the second time already.. what’s wrong??",1,AppStore,31/01/2019 08:31,HK Bank,en
Citibank HK,Cannot redeem cash rebate! i cannot redeem online in computer cos it keeps logging on.,1,AppStore,05/12/2018 17:37,HK Bank,en
Citibank HK,After typing username and password. It goes back to the login screen. Trash apps imo,1,AppStore,19/08/2018 20:59,HK Bank,en
Citibank HK,"After logging in, it stays at the log in page. I can’t view my account!!!!",1,AppStore,07/07/2018 17:04,HK Bank,en
CMB,�The app does not respond to any click? How can I make a time deposit?,1,AppStore,20/09/2017 10:29,HK Bank,en
Dah Sing Bank,Can you at least let me in the login page? I'm on iPad mini retina.,1,AppStore,12/09/2014 19:43,HK Bank,en
Heng Seng Bank,"After update I can’t login my account, when I click the login button show nothing",1,AppStore,15/07/2019 12:20,HK Bank,en
Heng Seng Bank,I can't update my system to iOS 10.3 which means I cannot enjoy your service?,1,AppStore,02/07/2019 02:42,HK Bank,en
Heng Seng Bank,Just can’t even use the app after updating to the latest version which was required!,1,AppStore,16/03/2019 20:53,HK Bank,en
Heng Seng Bank,"After updated the latest version yesterday , I cannot logon to the personal internet banking.",1,AppStore,26/09/2018 13:14,HK Bank,en
Heng Seng Bank,"No matter speed, performance, stability, etc, like bringing users back to era of technology desert.",1,AppStore,23/07/2018 00:58,HK Bank,en
Heng Seng Bank,Haven’t been able to log in for days. It just says service is temporarily unavailable.,1,AppStore,03/06/2018 15:19,HK Bank,en
Heng Seng Bank,"Function of an a website from year 2000, not even an app, just a website.",1,AppStore,28/02/2017 15:43,HK Bank,en
HSBC HK,It logged me off whenever I entered the security code to activate the Face ID!!,1,AppStore,15/11/2017 19:33,HK Bank,en
inMotion,"Every time when it comes to the face verification part, error msg “system busy” prompts.",1,AppStore,24/03/2019 15:39,HK Bank,en
PayMe,"The apps has kept reloading
And has to do a transaction by re-trying few times!!!!!!",1,AppStore,27/09/2019 14:26,HK Bank,en
PayMe,Seems there are bugs with new iOS from Apple. Cannot receive payment and open Apps,1,AppStore,27/09/2019 14:07,HK Bank,en
PayMe,"My very first time commenting an app. Can’t even scan my ID card. Rubbish
 ----------------------------------------------------------------------------------------- 
 ",1,AppStore,09/08/2019 22:28,HK Bank,en
PayMe,When are you going to get round to supporting your own subsidiary Hang Seng Bank?,1,AppStore,14/04/2019 20:40,HK Bank,en
PayMe,It takes 3 days for transfer the money back to the bank account... 5000 each!,1,AppStore,05/12/2018 19:22,HK Bank,en
PayMe,I don’t wanna see my friend’s transaction. I wanna hide my pass transaction from friends!,1,AppStore,03/05/2018 20:36,HK Bank,en
PayMe,"Keep asking me to update even I have already done. Pls fix the bugs~
 ----------------------------------------------------------------------------------------- 
 ",1,AppStore,20/04/2018 08:21,HK Bank,en
PayMe,"Fail to to up via credit card since 5th Jan 2018. Pls fix it!
 ----------------------------------------------------------------------------------------- 
 ",1,AppStore,09/01/2018 08:35,HK Bank,en
PayMe,This new update performance is so slow. It took so long to load every step!,1,AppStore,19/12/2017 22:25,HK Bank,en
PayMe,"Will not use again and credit card charge me $1 handling fee , stupid !",1,AppStore,15/10/2017 14:28,HK Bank,en
PayMe,"What the hell I can’t transfer money to friends after update this app. WTF
 ----------------------------------------------------------------------------------------- 
 ",1,AppStore,04/10/2017 08:49,HK Bank,en
PayMe,"This app screws. Scan my ID card for 20 times and access still denied
 ----------------------------------------------------------------------------------------- 
 ",1,AppStore,04/08/2017 14:25,HK Bank,en
SC Mobile Hong Kong,"Pls pay attention to your apps and internet banking after upgraded to iOS 13
 ----------------------------------------------------------------------------------------- 
 ",1,AppStore,21/09/2019 20:58,HK Bank,en
SC Mobile Hong Kong,The credit card transaction record is not updated.it has been delay for almost a month.,1,AppStore,11/12/2018 11:58,HK Bank,en
SC Mobile Hong Kong,"After renew my ios to 12 using iphone xs
I cant even open the app",1,AppStore,22/09/2018 11:37,HK Bank,en
SC Mobile Hong Kong,"What happen to this app after installing the latest updates, cannot run! Fix it ASAP!!!",1,AppStore,02/09/2018 11:59,HK Bank,en
SC Mobile Hong Kong,"Cannot open in iphone X, how can u use faceID to login? � rubbish apps",1,AppStore,21/06/2018 12:28,HK Bank,en
SC Mobile Hong Kong,It just freezes on the first page that I can’t even enter my login credentials.,1,AppStore,25/04/2018 08:43,HK Bank,en
AlipayHK,I ask 100 times the sms verification and I don't receive anything... what's goin going?,1,GooglePlay,07-Sep-19,HK Bank,en
AlipayHK,its very bad coz my i.d and other data fail and always say doesn't match...,1,GooglePlay,11-Mar-19,HK Bank,en
AlipayHK,why it takes too long to recieve the money that i send to the bank,1,GooglePlay,30-Jan-19,HK Bank,en
PayMe,The latest version keeps on giving me the "OOPS" notification and then hangs up �,1,GooglePlay,30-Aug-19,HK Bank,en
PayMe,impossible to send a payment to a business user. link forces to download personal app.,1,GooglePlay,28-Jul-19,HK Bank,en
PayMe,"plx stop changing my privacy setting back to your default setting after update, thats ridiculous",1,GooglePlay,20-May-19,HK Bank,en
PayMe,transfer the balance to my own bank account needs 3 working days! this is unacceptable!,1,GooglePlay,"April 29, 2019",HK Bank,en
PayMe,Prompt error in login page. I can't continue when choosing Facebook login or mobile login.,1,GooglePlay,19-Jul-18,HK Bank,en
PayMe,I also got the uh oh error message. Very poor and expected more from hsbc,1,GooglePlay,"April 3, 2018",HK Bank,en
PayMe,"it's not working, can't top up from credit card for two days. what's going on?!",1,GooglePlay,11-Jan-18,HK Bank,en
PayMe,This app always hangs. Your customer service is already bad. Your app is no better.,1,GooglePlay,11-Dec-17,HK Bank,en
PayMe,"Error 19001 try later, try and reset password many time also submitted enquiry. No reply",1,GooglePlay,29-Nov-17,HK Bank,en
PayMe,Upload my contact takes a long time. Not working. So i quite this app. �,1,GooglePlay,30-Nov-17,HK Bank,en
PayMe,I've installed this app many times and it kept showning blank screen after logon !,1,GooglePlay,16-Sep-17,HK Bank,en
PayMe,"Can't log in because my phone is apparently rooted. Written on my brand new, s8",1,GooglePlay,15-May-17,HK Bank,en
PayMe,You get me all excited and it's stuck on the splash screen! Great experience that!!,1,GooglePlay,08-Feb-17,HK Bank,en
PayMe,"Can't ever recognize my ID data with an Android smartphone, can't use it to pay",1,GooglePlay,10-Feb-17,HK Bank,en
PayMe,PayMe = Play me? Freeze screen in every launch. Useless!!! Deleted at last! Forget it!,1,GooglePlay,21-Feb-17,HK Bank,en
PayMe,Unusable. I have to submit a 1 star review because I can't submit zero star.,1,GooglePlay,09-Feb-17,HK Bank,en
BEA,"Fix it plssss App keep looping and can't be accessed with network on, come on",1,GooglePlay,02-Nov-15,HK Bank,en
BEA,A/c no. length not long enough to accept last digit of credit card no. Uninstalled.,1,GooglePlay,16-Dec-10,HK Bank,en
BOC,New version Not support finger print on S10+. Very slow compare with other bank app,1,GooglePlay,29-Oct-19,HK Bank,en
BOC,Not support mobile token on majority of phones including Pixel with latest monthly security patch,1,GooglePlay,29-Sep-18,HK Bank,en
BOC,It is fine until update Stupid update ) ) ) loading loading n loading !!,1,GooglePlay,25-Oct-16,HK Bank,en
BOC,Can't login The loading icon just repeatedly pop up. Did you even test this? Amateurs.,1,GooglePlay,15-Jun-16,HK Bank,en
BOC,Force to close Not user friendly. Couldn't really like desktop page that gd. It's shame.,1,GooglePlay,09-Jun-12,HK Bank,en
BOC,"cannot login, keeps refresh the login page after i has clicked on the login button!",1,GooglePlay,14-Oct-17,HK Bank,en
Citibank HK,"The more they update, the less function they provide. The harder it is to use",1,GooglePlay,01-Sep-19,HK Bank,en
Citibank HK,"quick cash dosent work ,it just loads 30 seconds and says loading error ,please check",1,GooglePlay,29-Aug-19,HK Bank,en
Citibank HK,1st time to leave comment here.it always keep loading even after update the new version,1,GooglePlay,01-Jun-19,HK Bank,en
Citibank HK,Cant login after update. All finger login function gone. Do u guys hv QA team?,1,GooglePlay,09-Dec-18,HK Bank,en
Citibank HK,It is solely designed for iOS system and is totally ignored the features of Android,1,GooglePlay,09-Jun-18,HK Bank,en
Citibank HK,Snapshot is trash Never remembers and always takes a long time to load the app,1,GooglePlay,06-Jan-17,HK Bank,en
Dah Sing Bank,Always stay at the introductory page and can't really log in the check the account,1,GooglePlay,03-Jul-19,HK Bank,en
DBS Omni,Why does the app need to access all files/photos/media on my phone? What a joke!!!,1,GooglePlay,13-Nov-18,HK Bank,en
DBS Omni,the app keeps stopping and i can't even perform a single function in 5 mins!!!,1,GooglePlay,12-Mar-18,HK Bank,en
DBS Omni,Very slow response Bad design and just like a very slow broswer without alert message,1,GooglePlay,14-Aug-13,HK Bank,en
ICBC,Doesn't allow China mainland account holders. Forces you to use a different app. Such bs.,1,GooglePlay,20-Feb-19,HK Bank,en
ICBC,I cannot even figure out how to make credit card payment with this app. Seriously?,1,GooglePlay,09-Oct-17,HK Bank,en
Heng Seng Bank,"Glitchy, slow, unintuitive, not concise. Pretty appalling for one of the leading banks in hk",1,GooglePlay,07-Aug-19,HK Bank,en
Heng Seng Bank,"After update to Android 10, biometric login no longer work on my Pixel 2 XL.",1,GooglePlay,14-Sep-19,HK Bank,en
HSBC HK,"Official p2p no longer works, it said user no register for fps and cannot transfer.",1,GooglePlay,"April 16, 2019",HK Bank,en
HSBC HK,My global transfer suddenly not working after this version on my mate 10 pro Huawei,1,GooglePlay,26-Jun-18,HK Bank,en
HSBC HK,Half the time the app gives me connection issue when all other apps are working,1,GooglePlay,13-May-18,HK Bank,en
HSBC HK,Mobile security key regularly fails. very poor and frustrating. Don't recommend anyone to use it,1,GooglePlay,27-Oct-17,HK Bank,en
HSBC HK,Just learnt from hotline that my phone is too new to use Fingerprint ID! ���,1,GooglePlay,03-Oct-17,HK Bank,en
HSBC HK,I lost my code and the link to reset it doesn't work!! I AM STUCK,1,GooglePlay,21-May-17,HK Bank,en
HSBC HK,"No fingerprint support at all, rediculous ads has been told for more than a year",1,GooglePlay,01-Oct-17,HK Bank,en
CCB,Just did a malware scan and found that a trojan.dropper was embedded in the app,1,GooglePlay,06-Feb-19,HK Bank,en
CCB,this app is sucks . harD to use . very unprofessional n not user friendly,1,GooglePlay,22-Nov-18,HK Bank,en
CMB,"Can't open the app. Download the app several times, still can't open it. Totally useless",1,GooglePlay,"April 6, 2018",HK Bank,en
SC,"With the newest version I can't even login, it says ""poor or no internet connection"".",1,GooglePlay,13-Aug-19,HK Bank,en
SC,Frequently cannot log in. Can"t even reinstall the app now. Simply not fit for purpose.,1,GooglePlay,05-Feb-19,HK Bank,en
SC,web login ask to authenticate using app and its keep crashing instead of push notification.,1,GooglePlay,02-Feb-19,HK Bank,en
SC,The fingerprint login function disappear suddenly ! Is there any backlog to fix it ?,1,GooglePlay,13-May-19,HK Bank,en
SC,"Useless now. Unable to log in, and without it online banking doesn't work either. Brilliant",1,GooglePlay,05-Nov-18,HK Bank,en
PayMe,"The new layout is ugly and difficult to use as well
I miss the old one",4,AppStore,08/09/2019 17:05,HK Bank,en
PayMe,"I think it needs to let people customize their friends' names, since I felt confused sometime",4,GooglePlay,27-May-18,HK Bank,en
PayMe,"Great idea and very convenient. Let down by lagging UI, slow transaction speed and unreliable service.",2,GooglePlay,"April 19, 2018",HK Bank,en
BOC,This new app is good. Outlook is nice with good feature. Better than the old one.,5,AppStore,10/10/2014 16:31,HK Bank,en
Citibank HK,I can acess the mobile banking services and locate ATM.. It is fantastic .. Well done..,5,AppStore,02/07/2010 12:46,HK Bank,en
Heng Seng Bank,Useful to help me to find the right solution to fit my borrowing need.  Really cool,5,AppStore,26/09/2019 22:06,HK Bank,en
HSBC HK,The Touch ID feature is great. I can login and check my balance much faster now.,5,AppStore,05/04/2017 22:48,HK Bank,en
HSBC HK,"No more carrying around the physical device, plus an login with my Touch ID. Great update!",5,AppStore,03/04/2017 11:09,HK Bank,en
inMotion,"（）Simple to open a account, good offer, works well on smartphone. Change the way you bank!",5,AppStore,08/04/2019 11:37,HK Bank,en
PayMe,"Everything starts with the P. How cool and simple. Nice work on the refreshed version.
 ----------------------------------------------------------------------------------------- 
 ",5,AppStore,20/08/2019 02:44,HK Bank,en
PayMe,Best way to pay friends when you go out for dinner. Dont have to give change,5,AppStore,19/05/2019 21:44,HK Bank,en
PayMe,"Great app and so convenient! All my friends use it, perfect way to split bills!
 ----------------------------------------------------------------------------------------- 
 ",5,AppStore,26/10/2017 14:36,HK Bank,en
AlipayHK,It's easy and fast In everything.. It's very convenient i love this app.. Thank You ❤,5,GooglePlay,16-Sep-19,HK Bank,en
